Data;28763 - Estoque de empregos formais - Total - Unidades;28764 - Estoque de empregos formais - Agropecuária - Unidades;28765 - Estoque de empregos formais - Indústrias extrativas - Unidades;28766 - Estoque de empregos formais - Indústrias de transformação - Unidades;28767 - Estoque de empregos formais - SIUP - Unidades;28768 - Estoque de empregos formais - Eletricidade e gás - Unidades;28769 - Estoque de empregos formais - Água, esgoto, atividades de gestão de resíduos e descontaminação - Unidades;28770 - Estoque de empregos formais - Construção - Unidades;28771 - Estoque de empregos formais - Comércio - Unidades;28772 - Estoque de empregos formais - Serviços - Unidades;28773 - Estoque de empregos formais - Transporte, armazenamento e correio - Unidades;28774 - Estoque de empregos formais - Alojamento e alimentação - Unidades;28775 - Estoque de empregos formais - Informação e comunicação - Unidades;28776 - Estoque de empregos formais - Atividades financeiras e seguros - Unidades
03/2011;35494208;1429270;218086;7515744;437554;120098;317456;2504449;7661704;15727394;2188247;1622589;752675;748837
04/2011;35811651;1460314;220686;7568530;439923;120402;319521;2549495;7716574;15856122;2220014;1632414;760113;753006
05/2011;36100400;1545551;222807;7612839;441420;120654;320766;2588317;7751349;15938110;2236736;1636789;765221;755882
06/2011;36355818;1627278;225042;7638202;441922;120930;320992;2629449;7792329;16001589;2248925;1646185;769186;758139
07/2011;36533100;1644910;227531;7663289;443371;121604;321767;2665558;7830093;16058341;2259820;1652296;774024;761243
08/2011;36763719;1627672;230126;7702173;443617;122119;321498;2708321;7885523;16166280;2273848;1661177;779311;765279
09/2011;37015024;1608534;232395;7771222;444719;122759;321960;2742655;7939996;16275496;2288084;1673537;783651;769474
10/2011;37175152;1580931;234062;7779996;445126;123181;321945;2761510;8011822;16361698;2302366;1680400;788023;773213
11/2011;37247819;1538508;234485;7728164;444786;123153;321633;2745723;8131628;16424518;2305443;1696387;793908;775211
12/2011;36845431;1463045;235003;7586635;443135;122543;320592;2666174;8126405;16325027;2299271;1700140;792583;776329
01/2012;37026061;1479523;236771;7627682;444377;122898;321479;2728393;8103830;16405478;2304307;1709244;797091;777934
02/2012;37226440;1480892;238530;7651968;445814;122767;323047;2769298;8107617;16532314;2314854;1710472;800162;778827
03/2012;37392332;1465222;240500;7651718;447182;123253;323929;2818066;8127536;16642101;2333044;1708623;801279;780245
04/2012;37655942;1490004;242722;7686178;449016;123419;325597;2870304;8174361;16743350;2355923;1713830;806581;782602
05/2012;37851716;1543645;244293;7712242;449148;123322;325826;2896325;8196765;16809291;2366396;1717498;811956;784141
06/2012;38014943;1608660;246247;7725655;452715;123734;328981;2907650;8219075;16854934;2372906;1720925;813611;786317
07/2012;38198939;1635975;248677;7755237;454868;124141;330727;2941672;8252710;16909793;2380255;1724513;818696;787111
08/2012;38352427;1621064;250083;7776622;457227;124907;332320;2962134;8296748;16988542;2384315;1727901;828091;787071
09/2012;38554766;1603741;251195;7849088;458148;124812;333336;2981119;8346661;17064807;2392209;1734608;838482;790078
10/2012;38644909;1584188;251319;7871773;457419;124473;332946;2976724;8408240;17095239;2401616;1742101;825971;790748
11/2012;38721066;1551616;251286;7849521;455794;124504;331290;2939902;8530676;17142264;2407089;1755956;828096;792856
12/2012;38218025;1466417;249704;7673931;454745;123649;331096;2839568;8539134;16994519;2386920;1757212;825295;791709
01/2013;38293639;1467656;250630;7723654;460723;124160;336563;2887083;8483109;17020777;2387124;1757989;828409;792591
02/2013;38462487;1460973;251031;7758595;461428;124140;337288;2913867;8483375;17133211;2397589;1759645;831370;794018
03/2013;38645505;1459764;251939;7789798;461819;124054;337765;2947967;8503264;17230947;2414061;1762897;833622;795030
04/2013;38901730;1489803;252849;7835482;464492;124178;340314;2992802;8535412;17330883;2439646;1769949;837272;795826
05/2013;39012954;1529807;252848;7854086;465074;123851;341223;2996291;8544590;17370251;2448929;1770981;841548;797129
06/2013;39171023;1593324;253418;7864261;465871;123561;342310;3005736;8563111;17425295;2459702;1778701;845148;798647
07/2013;39244240;1614341;253276;7875153;464496;122700;341796;3016079;8572387;17448501;2465888;1782053;848507;799205
08/2013;39406400;1603391;253409;7889728;463895;122212;341683;3036822;8633412;17525736;2473548;1793240;851524;799068
09/2013;39664068;1595857;254032;7958432;464941;121819;343122;3074175;8700950;17615674;2485432;1807321;853993;801240
10/2013;39794933;1574692;253998;7994666;466542;121956;344586;3078109;8762893;17664026;2492141;1817263;853230;802594
11/2013;39864294;1540238;252572;7961369;466574;120979;345595;3048166;8878835;17716533;2497554;1835204;856220;803229
12/2013;39356587;1456412;250571;7789008;464286;118240;346046;2946892;8874309;17575102;2475004;1835946;854014;802246
